0:R,0,1,0,5,0,1,1,0,0,0
1:N,0,1,1,3,0,1,1,2,1,2
2:B,0,1,2,3,0,1,1,1,0,0
3:Q,0,1,3,9,0,1,0,0,0,0
4:K,1,1,4,0,0,1,0,0,1,2
5:B,1,1,5,3,0,1,1,1,0,0
6:N,1,1,6,3,0,1,1,2,1,2
7:R,1,1,7,5,0,1,1,0,0,0
8:P,0,1,8,1,0,1,1,0,1,2
9:P,0,1,9,1,0,1,1,0,1,2
10:P,0,1,10,1,0,1,1,0,1,2
11:P,0,1,11,1,0,1,1,0,1,2
12:P,1,1,12,1,0,1,1,0,1,2
13:P,1,1,13,1,0,1,1,0,1,2
14:P,1,1,14,1,0,1,1,0,1,2
15:P,1,1,15,1,0,1,1,0,1,2
16:P,0,0,48,1,0,1,1,0,1,2
17:P,0,0,49,1,0,1,1,0,1,2
18:P,0,0,50,1,0,1,1,0,1,2
19:P,0,0,51,1,0,1,1,0,1,2
20:P,1,0,52,1,0,1,1,0,1,2
21:P,1,0,53,1,0,1,1,0,1,2
22:P,1,0,54,1,0,1,1,0,1,2
23:P,1,0,55,1,0,1,1,0,1,2
24:R,0,0,56,5,0,1,1,0,0,0
25:N,0,0,57,3,0,1,1,2,1,2
26:B,0,0,58,3,0,1,1,1,0,0
27:Q,0,0,59,9,0,1,0,0,0,0
28:K,1,0,60,0,0,1,0,0,1,2
29:B,1,0,61,3,0,1,1,1,0,0
30:N,1,0,62,3,0,1,1,2,1,2
31:R,1,0,63,5,0,1,1,0,0,0
32: ,0,0,64,0,0,1,0,0,0,0
